sweep_id	cell_id	description	seed	run_id	status	pre_quant_bpb	quant_bpb	ttt_bpb	artifact_bytes	steps_completed	tok_per_sec	overrides
20260429_053241	MHA_M35	MHA + slope=0.3 + MLP_MULT=3.5 (MLP params traded for MHA KV params)	42	20260429_053241-MHA_M35-s42-42dd4a74	OK	1.06848959	1.07765105	1.06513310	15910585	4821	6380376	NUM_KV_HEADS=8 MLP_MULT=3.5
20260429_053241	MHA_L10	MHA + slope=0.3 + NUM_LAYERS=10 (drop one block)	42	20260429_053241-MHA_L10-s42-7e698c23	OK	1.06693821	1.07590786	1.06352353	15806169	5179	6837587	NUM_KV_HEADS=8 NUM_LAYERS=10 XSA_LAST_N=10
20260429_053241	MHA_M35_BEST	MHA + slope=0.3 + MLP_MULT=3.5 + Stage 1/2 free wins	42	20260429_053241-MHA_M35_BEST-s42-c1896970	OK	1.06629172	1.07525135	1.06236292	15910881	4945	6586427	NUM_KV_HEADS=8 MLP_MULT=3.5 LQER_TOP_K=1 GATED_ATTN_QUANT_GATE=1 TTT_BATCH_SIZE=16
20260429_053241	MHA_L10_P7	MHA + slope=0.3 + NUM_LAYERS=10 + PARALLEL_START_LAYER=7	42	20260429_053241-MHA_L10_P7-s42-12a972a9	OK	1.06650625	1.07543194	1.06305008	15811149	5173	6827199	NUM_KV_HEADS=8 NUM_LAYERS=10 XSA_LAST_N=10 PARALLEL_START_LAYER=7
20260429_053241	MHA_M30	MHA + slope=0.3 + MLP_MULT=3.0 (under-param width control)	42	20260429_053241-MHA_M30-s42-48483a20	OK	1.07287672	1.08215978	1.06976461	14661346	5021	6589942	NUM_KV_HEADS=8 MLP_MULT=3.0
20260429_053241	MHA_L10_M35	MHA + slope=0.3 + NUM_LAYERS=10 + MLP_MULT=3.5 (combined over-shrink)	42	20260429_053241-MHA_L10_M35-s42-5ad9522b	OK	1.07257338	1.08208666	1.06959937	14668530	5291	7049058	NUM_KV_HEADS=8 NUM_LAYERS=10 XSA_LAST_N=10 MLP_MULT=3.5
